"Playlist URL","https://www.youtube.com/playlist?list=PLeN3gXHbQPwoszwUstPh4b9L0jsy_rSsr"
"Playlist title","Musica :D"
"Playlist author","malperder"
"Videos","119"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL"
"3iEnvL4AQCQ","Feint - Lift","seRSje","2012-10-30","2010-11-20","https://i.ytimg.com/vi/3iEnvL4AQCQ/hqdefault.jpg"
"UP08FVt5QdE","League of Legends Song - Silver Scrapes (Danny McCarthy Original Version)","Snucka Rucka","2012-10-30","2012-03-13","https://i.ytimg.com/vi/UP08FVt5QdE/hqdefault.jpg"
"f7RKOP87tt4","Meg & Dia - Monster (DotEXE Remix)","DotEXE","2012-10-30","2011-08-31","https://i.ytimg.com/vi/f7RKOP87tt4/hqdefault.jpg"
"oroF8ZAQdsI","Techno Kitten Adventure- Meat Pack Song","Rashawn DaQuan","2012-10-30","2011-08-13","https://i.ytimg.com/vi/oroF8ZAQdsI/hqdefault.jpg"
"_ovdm2yX4MA","Avicii - Levels","AviciiOfficialVEVO","2012-10-30","2011-11-29","https://i.ytimg.com/vi/_ovdm2yX4MA/hqdefault.jpg"
"MITA4FhVjDc","Avicii 'Levels' Skrillex Remix [FULL]","Skrillex","2012-11-09","2011-12-23","https://i.ytimg.com/vi/MITA4FhVjDc/hqdefault.jpg"
"cSnkWzZ7ZAA","Flo Rida - Whistle [Official Video]","Flo Rida Videos","2012-11-19","2012-05-24","https://i.ytimg.com/vi/cSnkWzZ7ZAA/hqdefault.jpg"
"uelHwf8o7_U","Eminem - Love The Way You Lie ft. Rihanna","EminemVEVO","2012-11-19","2010-08-05","https://i.ytimg.com/vi/uelHwf8o7_U/hqdefault.jpg"
"_WXK_6h1huE","Tjernberg & Wess - Evolve (Original Mix)","Ministry of Sound","2012-12-11","2012-02-22","https://i.ytimg.com/vi/_WXK_6h1huE/hqdefault.jpg"
"JRfuAukYTKg","David Guetta - Titanium ft. Sia (Official Video)","David Guetta","2012-12-21","2011-12-21","https://i.ytimg.com/vi/JRfuAukYTKg/hqdefault.jpg"
"-UiDPwphkag","Different Heaven ft. Eddisplay - All Your Base","Different Heaven","2012-12-28","2012-12-01","https://i.ytimg.com/vi/-UiDPwphkag/hqdefault.jpg"
"3rgwIp6D3ow","Algo Me Gusta De Ti (Official Video)","WisinYYandelVEVO","2013-01-05","2012-08-17","https://i.ytimg.com/vi/3rgwIp6D3ow/hqdefault.jpg"
"E4a82LRNdlQ","Leona Lewis, Avicii - Collide (Official Video)","leonalewisVEVO","2013-01-05","2011-08-26","https://i.ytimg.com/vi/E4a82LRNdlQ/hqdefault.jpg"
"s59W9yh5Ku4","Fil de llum - Andreu Rifé  (cançó oficial)","Andreu Rifé","2013-01-13","2012-12-16","https://i.ytimg.com/vi/s59W9yh5Ku4/hqdefault.jpg"
"T3E9Wjbq44E","Gym Class Heroes: Stereo Hearts ft. Adam Levine [OFFICIAL VIDEO]","Fueled By Ramen","2013-01-21","2011-08-12","https://i.ytimg.com/vi/T3E9Wjbq44E/hqdefault.jpg"
"JJlrdRsjARU","Best Techno Remix 2012!","DjTobesonic2012","2013-02-05","2011-12-16","https://i.ytimg.com/vi/JJlrdRsjARU/hqdefault.jpg"
"tDmiJ9f3LCA","The Ultimate Techno Remix 2012!","DjTobesonic2012","2013-02-05","2012-01-02","https://i.ytimg.com/vi/tDmiJ9f3LCA/hqdefault.jpg"
"zyBDF2hgqcc","DJ Splash This Is My Life","bmw325noturbo","2013-02-09","2007-03-13","https://i.ytimg.com/vi/zyBDF2hgqcc/hqdefault.jpg"
"lb7ZpMThGgk","DJ splash- Crying Soul","Skatemat","2013-02-09","2008-05-10","https://i.ytimg.com/vi/lb7ZpMThGgk/hqdefault.jpg"
"IvSc9RWyFNc","Dj Splash - New life","joeke Dorhout","2013-02-09","2007-06-06","https://i.ytimg.com/vi/IvSc9RWyFNc/hqdefault.jpg"
"gLSBhbNbWNw","Juan Magán, Don Omar - Ella No Sigue Modas (Videoclip)","MaganVEVO","2013-02-17","2012-04-30","https://i.ytimg.com/vi/gLSBhbNbWNw/hqdefault.jpg"
"lIe4VHXpftg","Juan Magán - Te Voy A Esperar (BSO Tadeo Jones) ft. Belinda","JuanMaganVEVO","2013-02-17","2012-08-07","https://i.ytimg.com/vi/lIe4VHXpftg/hqdefault.jpg"
"MwSkC85TDgY","[Electro] - Pegboard Nerds - Disconnected [Monstercat Release]","Monstercat Uncaged","2013-02-19","2012-05-23","https://i.ytimg.com/vi/MwSkC85TDgY/hqdefault.jpg"
"5donCggZzMc","Juan Magán - Se Vuelve Loca (Explicit Version)","MaganVEVO","2013-03-06","2012-07-31","https://i.ytimg.com/vi/5donCggZzMc/hqdefault.jpg"
"OVLXgzoEURA","Aura - Approaching Nirvana","ApproachingNirvana","2013-03-25","2012-04-06","https://i.ytimg.com/vi/OVLXgzoEURA/hqdefault.jpg"
"OVLXgzoEURA","Aura - Approaching Nirvana","ApproachingNirvana","2013-03-25","2012-04-06","https://i.ytimg.com/vi/OVLXgzoEURA/hqdefault.jpg"
